region_code,region_name,country_code,country_name_sv,year,reference_date,published_count,population_denominator,pct_all_residents,status,geographic_level,source_url
00,Riket,AF,Afghanistan,2025,2025-12-31,68819.000000,10605529.000000,0.648897,published,national,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/
00,Riket,AL,Albanien,2025,2025-12-31,11065.000000,10605529.000000,0.104332,published,national,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/
00,Riket,DZ,Algeriet,2025,2025-12-31,3686.000000,10605529.000000,0.034755,published,national,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/
00,Riket,AO,Angola,2025,2025-12-31,857.000000,10605529.000000,0.008081,published,national,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/
00,Riket,AR,Argentina,2025,2025-12-31,4441.000000,10605529.000000,0.041874,published,national,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/
00,Riket,AM,Armenien,2025,2025-12-31,3772.000000,10605529.000000,0.035566,published,national,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/
00,Riket,AU,Australien,2025,2025-12-31,5264.000000,10605529.000000,0.049634,published,national,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/
00,Riket,AZ,Azerbajdzjan,2025,2025-12-31,4526.000000,10605529.000000,0.042676,published,national,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/
00,Riket,BS,Bahamas,2025,2025-12-31,35.000000,10605529.000000,0.000330,published,national,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/
00,Riket,BH,Bahrain,2025,2025-12-31,161.000000,10605529.000000,0.001518,published,national,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/
00,Riket,BD,Bangladesh,2025,2025-12-31,15427.000000,10605529.000000,0.145462,published,national,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/
