region_code,region_name,geographic_level,birth_group_code,birth_group_name,reference_date,published_cell_subtotal,population_denominator,pct_published_subtotal,published_country_count,missing_country_count,member_count,status,missing_country_codes,source_url,classification_url
00,Riket,national,REG_NON_EUROPE,Fuera de Europa,2025-12-31,1313901.000000,10605529,12.388830,141,0,141,published_cell_subtotal,,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/,https://unstats.un.org/unsd/methodology/m49/overview/
00,Riket,national,REG_AFRICA,África,2025-12-31,255506.000000,10605529,2.409177,53,0,53,published_cell_subtotal,,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/,https://unstats.un.org/unsd/methodology/m49/overview/
00,Riket,national,REG_ASIA,Asia,2025-12-31,922691.000000,10605529,8.700094,48,0,48,published_cell_subtotal,,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/,https://unstats.un.org/unsd/methodology/m49/overview/
00,Riket,national,REG_EUROPE_EX_SE,Europa (sin Suecia),2025-12-31,890638.000000,10605529,8.397865,43,0,43,published_cell_subtotal,,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/,https://unstats.un.org/unsd/methodology/m49/overview/
00,Riket,national,REG_EUROPE,Europa (incluye Suecia),2025-12-31,9285531.000000,10605529,87.553681,44,0,44,published_cell_subtotal,,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/,https://unstats.un.org/unsd/methodology/m49/overview/
00,Riket,national,REG_AMERICAS,América,2025-12-31,128884.000000,10605529,1.215253,34,0,34,published_cell_subtotal,,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/,https://unstats.un.org/unsd/methodology/m49/overview/
00,Riket,national,REG_NORTHERN_AMERICA,América septentrional,2025-12-31,31037.000000,10605529,0.292649,3,0,3,published_cell_subtotal,,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/,https://unstats.un.org/unsd/methodology/m49/overview/
00,Riket,national,REG_LATIN_AMERICA,América Latina y Caribe,2025-12-31,97847.000000,10605529,0.922604,31,0,31,published_cell_subtotal,,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/,https://unstats.un.org/unsd/methodology/m49/overview/
00,Riket,national,REG_OCEANIA,Oceanía,2025-12-31,6820.000000,10605529,0.064306,6,0,6,published_cell_subtotal,,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/,https://unstats.un.org/unsd/methodology/m49/overview/
00,Riket,national,REG_UNASSIGNED,Sin asignación continental,2025-12-31,6092.000000,10605529,0.057442,3,0,3,published_cell_subtotal,,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101E/FolkmRegFlandKCKM/,https://unstats.un.org/unsd/methodology/m49/overview/
