region_code,region_name,level,category_code,category_name,source_category_code,published_count,population_denominator,pct_all_residents,reference_date,source_url
00,Riket,national,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,2210638,10605529,20.844203,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
00,Riket,national,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,726205,10605529,6.847419,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
00,Riket,national,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,845089,10605529,7.968381,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
00,Riket,national,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,6823598,10605529,64.340006,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
01,Stockholms län,county,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,687400,2486251,27.648053,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
01,Stockholms län,county,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,237314,2486251,9.545054,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
01,Stockholms län,county,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,251017,2486251,10.096205,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
01,Stockholms län,county,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,1310516,2486251,52.710527,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0114,Upplands Väsby,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,18186,50495,36.015447,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0114,Upplands Väsby,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,6592,50495,13.054758,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0114,Upplands Väsby,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,4500,50495,8.911773,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0114,Upplands Väsby,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,21216,50495,42.016041,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0115,Vallentuna,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,5885,35361,16.642629,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0115,Vallentuna,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,1763,35361,4.985719,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0115,Vallentuna,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,3593,35361,10.160912,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0115,Vallentuna,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,24117,35361,68.202257,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0117,Österåker,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,9037,49943,18.094628,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0117,Österåker,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,2548,49943,5.101816,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0117,Österåker,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,4869,49943,9.749114,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0117,Österåker,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,33485,49943,67.046433,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
