district_id,district_name,municipality_name,county_name,election_year,population_year,rest_world_unknown_pct,sv_vote_pct,votes_s,votes_v,valid_votes,rest_world_unknown_residents_estimated,birth_population_estimated,coverage_quality,election_status
01140101,Övra Runby,Upplands Väsby,Stockholm,2026,2025,15.01602949707253,38.79885605338418,313,94,1049,290.99107,1937.869595,high_coverage,provisional
01140102,Mälaren,Upplands Väsby,Stockholm,2026,2025,10.520801104398519,34.46088794926004,275,51,946,131.190641,1246.964368,high_coverage,provisional
01140120,Edssjön,Upplands Väsby,Stockholm,2026,2025,19.406198114391383,40.86021505376344,426,106,1302,692.26059,3567.213866,high_coverage,provisional
01140121,Nedra Runby,Upplands Väsby,Stockholm,2026,2025,17.68073716328589,37.690631808278866,242,104,918,280.54215,1586.710709,high_coverage,provisional
01140126,Prästgårdsmarken,Upplands Väsby,Stockholm,2026,2025,18.486492006732096,46.506550218340614,303,123,916,278.436324,1506.160952,high_coverage,provisional
01140203,Folkparken,Upplands Väsby,Stockholm,2026,2025,24.422196669071493,40.26974951830443,305,113,1038,521.887531,2136.939351,high_coverage,provisional
01140204,Fysingen,Upplands Väsby,Stockholm,2026,2025,27.311428353256307,35.78378378378378,248,83,925,753.640165,2759.431529,high_coverage,provisional
01140206,Sigma,Upplands Väsby,Stockholm,2026,2025,40.53177644069971,64.97252747252747,292,181,728,666.811423,1645.157162,high_coverage,provisional
01140207,Odenslunda Södra,Upplands Väsby,Stockholm,2026,2025,16.8723704984287,30.853174603174605,241,70,1008,286.998201,1700.995133,high_coverage,provisional
01140209,Smedby Norra,Upplands Väsby,Stockholm,2026,2025,34.132509124537584,53.61344537815126,215,104,595,576.143869,1687.96225,high_coverage,provisional
01140210,Väsbyskogen Västra,Upplands Väsby,Stockholm,2026,2025,32.46991552046551,41.325811001410436,244,49,709,766.873102,2361.795803,high_coverage,provisional
01140211,Skälby,Upplands Väsby,Stockholm,2026,2025,27.9723842323164,41.34929270946681,267,113,919,487.00124,1741.007259,high_coverage,provisional
01140212,Smedby Södra,Upplands Väsby,Stockholm,2026,2025,26.771572689165033,44.096385542168676,260,106,830,540.26638,2018.059926,high_coverage,provisional
01140218,Korpkulla,Upplands Väsby,Stockholm,2026,2025,29.10603262102454,45.6140350877193,343,125,1026,508.159558,1745.890842,high_coverage,provisional
01140219,Ekebo,Upplands Väsby,Stockholm,2026,2025,32.83243706069617,58.465991316931984,273,131,691,211.796992,645.08459,high_coverage,provisional
01140223,Brunnby,Upplands Väsby,Stockholm,2026,2025,19.785840197257563,34.04040404040404,257,80,990,387.997912,1960.987798,high_coverage,provisional
01140224,Apoteksskogen,Upplands Väsby,Stockholm,2026,2025,34.47246758075402,55.4531490015361,266,95,651,666.887921,1934.552319,high_coverage,provisional
01140225,Väsbyskogen Östra,Upplands Väsby,Stockholm,2026,2025,35.66594548778184,69.46264744429882,338,192,763,326.416918,915.206126,high_coverage,provisional
01140231,Vilunda,Upplands Väsby,Stockholm,2026,2025,25.876839057962474,45.412311265969805,319,72,861,357.329012,1380.883543,high_coverage,provisional
01140232,Fyrklövern Norra,Upplands Väsby,Stockholm,2026,2025,35.61097418489291,52.857142857142854,244,89,630,589.023665,1654.050973,high_coverage,provisional
01140233,Fyrklövern Södra,Upplands Väsby,Stockholm,2026,2025,43.791427274421146,68.02218114602587,236,132,541,671.598153,1533.629285,high_coverage,provisional
01140313,Odenslunda Norra,Upplands Väsby,Stockholm,2026,2025,20.671675652811988,35.10204081632653,268,76,980,339.976202,1644.647525,high_coverage,provisional
01140314,Norra Bollstanäs,Upplands Väsby,Stockholm,2026,2025,8.145354842798563,23.899848254931715,277,38,1318,130.443473,1601.446168,high_coverage,provisional
01140315,Sjukyrkoberget,Upplands Väsby,Stockholm,2026,2025,12.108385371944106,31.912784935579783,284,38,1009,189.016577,1561.038662,high_coverage,provisional
01140316,Grimstaby,Upplands Väsby,Stockholm,2026,2025,12.173571821776989,30.925666199158485,368,73,1426,275.001671,2259.005615,high_coverage,provisional
01140317,Gamla Bollstanäs,Upplands Väsby,Stockholm,2026,2025,10.533970329271591,26.64700098328417,233,38,1017,162.009594,1537.972758,high_coverage,provisional
01140318,Frestaby,Upplands Väsby,Stockholm,2026,2025,10.39148450566812,25.376344086021504,209,27,930,171.04051,1645.968003,high_coverage,provisional
01140327,Östra Frestaby-Ekeby,Upplands Väsby,Stockholm,2026,2025,12.222541146583612,27.59452936444087,283,60,1243,313.325549,2563.505782,high_coverage,provisional
01150101,1 Vallentuna västra,Vallentuna,Stockholm,2026,2025,6.1294187784283585,18.82793017456359,124,27,802,118.652267,1935.783331,high_coverage,provisional
01150102,2 Markim-Orkesta,Vallentuna,Stockholm,2026,2025,3.8170029741967206,22.731128074639525,228,40,1179,68.170334,1785.964917,high_coverage,provisional
01150103,3 Hammarbacken N,Vallentuna,Stockholm,2026,2025,7.290763696559756,27.494287890327495,319,42,1313,119.062698,1633.06209,high_coverage,provisional
01150104,4 Hammarbacken S,Vallentuna,Stockholm,2026,2025,11.703591421699917,30.21201413427562,281,61,1132,231.814037,1980.708559,high_coverage,provisional
01150105,5 Ormsta N,Vallentuna,Stockholm,2026,2025,7.460085305449605,27.56508422664625,313,47,1306,163.981789,2198.12217,high_coverage,provisional
01150106,6 Vallentuna nordöstra,Vallentuna,Stockholm,2026,2025,7.417234060689183,23.007128969539856,302,53,1543,206.396756,2782.664728,high_coverage,provisional
