district_id,district_name,municipality_name,county_name,election_year,population_year,rest_world_unknown_pct,svmp_vote_pct,votes_s,votes_v,votes_mp,valid_votes,rest_world_unknown_residents_estimated,birth_population_estimated,coverage_quality,election_status
01140101,Övra Runby,Upplands Väsby,Stockholm,2026,2025,15.01602949707253,45.3765490943756,313,94,69,1049,290.99107,1937.869595,high_coverage,provisional
01140102,Mälaren,Upplands Väsby,Stockholm,2026,2025,10.520801104398519,41.86046511627907,275,51,70,946,131.190641,1246.964368,high_coverage,provisional
01140120,Edssjön,Upplands Väsby,Stockholm,2026,2025,19.406198114391383,45.46850998463902,426,106,60,1302,692.26059,3567.213866,high_coverage,provisional
01140121,Nedra Runby,Upplands Väsby,Stockholm,2026,2025,17.68073716328589,43.4640522875817,242,104,53,918,280.54215,1586.710709,high_coverage,provisional
01140126,Prästgårdsmarken,Upplands Väsby,Stockholm,2026,2025,18.486492006732096,51.85589519650655,303,123,49,916,278.436324,1506.160952,high_coverage,provisional
01140203,Folkparken,Upplands Väsby,Stockholm,2026,2025,24.422196669071493,45.08670520231214,305,113,50,1038,521.887531,2136.939351,high_coverage,provisional
01140204,Fysingen,Upplands Väsby,Stockholm,2026,2025,27.311428353256307,38.5945945945946,248,83,26,925,753.640165,2759.431529,high_coverage,provisional
01140206,Sigma,Upplands Väsby,Stockholm,2026,2025,40.53177644069971,67.85714285714286,292,181,21,728,666.811423,1645.157162,high_coverage,provisional
01140207,Odenslunda Södra,Upplands Väsby,Stockholm,2026,2025,16.8723704984287,34.82142857142857,241,70,40,1008,286.998201,1700.995133,high_coverage,provisional
01140209,Smedby Norra,Upplands Väsby,Stockholm,2026,2025,34.132509124537584,57.142857142857146,215,104,21,595,576.143869,1687.96225,high_coverage,provisional
01140210,Väsbyskogen Västra,Upplands Väsby,Stockholm,2026,2025,32.46991552046551,46.121297602256696,244,49,34,709,766.873102,2361.795803,high_coverage,provisional
01140211,Skälby,Upplands Väsby,Stockholm,2026,2025,27.9723842323164,43.96082698585419,267,113,24,919,487.00124,1741.007259,high_coverage,provisional
01140212,Smedby Södra,Upplands Väsby,Stockholm,2026,2025,26.771572689165033,46.144578313253014,260,106,17,830,540.26638,2018.059926,high_coverage,provisional
01140218,Korpkulla,Upplands Väsby,Stockholm,2026,2025,29.10603262102454,49.22027290448343,343,125,37,1026,508.159558,1745.890842,high_coverage,provisional
01140219,Ekebo,Upplands Väsby,Stockholm,2026,2025,32.83243706069617,61.93921852387844,273,131,24,691,211.796992,645.08459,high_coverage,provisional
01140223,Brunnby,Upplands Väsby,Stockholm,2026,2025,19.785840197257563,37.77777777777778,257,80,37,990,387.997912,1960.987798,high_coverage,provisional
01140224,Apoteksskogen,Upplands Väsby,Stockholm,2026,2025,34.47246758075402,61.136712749615974,266,95,37,651,666.887921,1934.552319,high_coverage,provisional
01140225,Väsbyskogen Östra,Upplands Väsby,Stockholm,2026,2025,35.66594548778184,71.82175622542594,338,192,18,763,326.416918,915.206126,high_coverage,provisional
01140231,Vilunda,Upplands Väsby,Stockholm,2026,2025,25.876839057962474,49.361207897793264,319,72,34,861,357.329012,1380.883543,high_coverage,provisional
01140232,Fyrklövern Norra,Upplands Väsby,Stockholm,2026,2025,35.61097418489291,56.03174603174603,244,89,20,630,589.023665,1654.050973,high_coverage,provisional
01140233,Fyrklövern Södra,Upplands Väsby,Stockholm,2026,2025,43.791427274421146,71.34935304990758,236,132,18,541,671.598153,1533.629285,high_coverage,provisional
01140313,Odenslunda Norra,Upplands Väsby,Stockholm,2026,2025,20.671675652811988,37.755102040816325,268,76,26,980,339.976202,1644.647525,high_coverage,provisional
01140314,Norra Bollstanäs,Upplands Väsby,Stockholm,2026,2025,8.145354842798563,27.465857359635812,277,38,47,1318,130.443473,1601.446168,high_coverage,provisional
01140315,Sjukyrkoberget,Upplands Väsby,Stockholm,2026,2025,12.108385371944106,34.78691774033697,284,38,29,1009,189.016577,1561.038662,high_coverage,provisional
01140316,Grimstaby,Upplands Väsby,Stockholm,2026,2025,12.173571821776989,34.7124824684432,368,73,54,1426,275.001671,2259.005615,high_coverage,provisional
01140317,Gamla Bollstanäs,Upplands Väsby,Stockholm,2026,2025,10.533970329271591,30.088495575221238,233,38,35,1017,162.009594,1537.972758,high_coverage,provisional
01140318,Frestaby,Upplands Väsby,Stockholm,2026,2025,10.39148450566812,29.35483870967742,209,27,37,930,171.04051,1645.968003,high_coverage,provisional
01140327,Östra Frestaby-Ekeby,Upplands Väsby,Stockholm,2026,2025,12.222541146583612,30.81255028157683,283,60,40,1243,313.325549,2563.505782,high_coverage,provisional
01150101,1 Vallentuna västra,Vallentuna,Stockholm,2026,2025,6.1294187784283585,22.56857855361596,124,27,30,802,118.652267,1935.783331,high_coverage,provisional
01150102,2 Markim-Orkesta,Vallentuna,Stockholm,2026,2025,3.8170029741967206,30.025445292620866,228,40,86,1179,68.170334,1785.964917,high_coverage,provisional
01150103,3 Hammarbacken N,Vallentuna,Stockholm,2026,2025,7.290763696559756,31.91165270373191,319,42,58,1313,119.062698,1633.06209,high_coverage,provisional
01150104,4 Hammarbacken S,Vallentuna,Stockholm,2026,2025,11.703591421699917,35.600706713780916,281,61,61,1132,231.814037,1980.708559,high_coverage,provisional
01150105,5 Ormsta N,Vallentuna,Stockholm,2026,2025,7.460085305449605,35.52833078101072,313,47,104,1306,163.981789,2198.12217,high_coverage,provisional
01150106,6 Vallentuna nordöstra,Vallentuna,Stockholm,2026,2025,7.417234060689183,28.515878159429683,302,53,85,1543,206.396756,2782.664728,high_coverage,provisional
01150107,7 Norrgården-Sörgården,Vallentuna,Stockholm,2026,2025,12.863691587758082,43.54194407456724,239,48,40,751,167.999657,1305.998794,high_coverage,provisional
01150108,8 Vallentuna C,Vallentuna,Stockholm,2026,2025,10.59731192995903,45.52177485620378,389,76,89,1217,227.27797,2144.675664,high_coverage,provisional
01150109,9 Ormsta S,Vallentuna,Stockholm,2026,2025,17.79993977955522,43.188854489164086,368,117,73,1292,433.529672,2435.568195,high_coverage,provisional
01150110,10 Lovisedal,Vallentuna,Stockholm,2026,2025,5.50452256357994,30.337886412652768,314,26,82,1391,117.913906,2142.127762,high_coverage,provisional
01150111,11 Karlberg,Vallentuna,Stockholm,2026,2025,6.036401973654877,29.12751677852349,311,52,71,1490,170.516543,2824.804308,high_coverage,provisional
01150112,12 Vada-Angarn-Össeby,Vallentuna,Stockholm,2026,2025,4.1998042488161245,27.881619937694705,224,42,92,1284,84.841111,2020.120605,high_coverage,provisional
01150113,13 Bällsta S,Vallentuna,Stockholm,2026,2025,6.472501057600258,21.70671085335543,186,17,59,1207,136.364964,2106.835716,high_coverage,provisional
01150114,14 Bällsta V,Vallentuna,Stockholm,2026,2025,7.318336966151034,31.689272503082613,354,68,92,1622,175.052439,2391.970195,high_coverage,provisional
01150115,15 Vallentuna sydöstra,Vallentuna,Stockholm,2026,2025,5.190821116472271,29.349593495934958,255,33,73,1230,90.858379,1750.366213,high_coverage,provisional
01150116,16 Garn,Vallentuna,Stockholm,2026,2025,4.397933976732509,29.842931937172775,189,33,63,955,72.109212,1639.61561,high_coverage,provisional
01150117,17 Kårsta-Frösunda,Vallentuna,Stockholm,2026,2025,4.4316990795396345,27.993527508090615,185,62,99,1236,101.437828,2288.915068,high_coverage,provisional
01170001,Berga NV,Österåker,Stockholm,2026,2025,10.80528297451482,41.89071986123157,347,80,56,1153,192.911732,1785.346413,high_coverage,provisional
01170002,Berga SÖ,Österåker,Stockholm,2026,2025,13.107057902660982,42.363112391930834,313,78,50,1041,215.376623,1643.211044,high_coverage,provisional
01170003,Björksättra-Högsättra,Österåker,Stockholm,2026,2025,8.261137476908424,35.74833174451859,267,53,55,1049,116.01822,1404.385538,high_coverage,provisional
01170004,Brevik,Österåker,Stockholm,2026,2025,4.185561144217917,25.039246467817897,225,21,73,1274,85.483857,2042.35117,high_coverage,provisional
01170005,Flaxenvik-Grindmossen,Österåker,Stockholm,2026,2025,6.778807632254554,27.050053248136315,188,28,38,939,128.209498,1891.328165,high_coverage,provisional
01170006,Fredsborg,Österåker,Stockholm,2026,2025,7.032315479998537,25.930445393532644,294,57,74,1639,229.454328,3262.856006,high_coverage,provisional
01170007,Hacksta V,Österåker,Stockholm,2026,2025,20.53069056593113,51.05908584169454,303,126,29,897,451.830688,2200.757381,high_coverage,provisional
01170008,Hacksta Ö,Österåker,Stockholm,2026,2025,13.602049384657464,42.23864836325237,292,60,48,947,263.795026,1939.377064,high_coverage,provisional
01170009,Ljusterö,Österåker,Stockholm,2026,2025,3.842675621015733,26.849489795918366,296,50,75,1568,84.999864,2211.996858,high_coverage,provisional
01170010,Margretelund,Österåker,Stockholm,2026,2025,4.519240301716477,24.424342105263158,203,29,65,1216,93.822082,2076.058712,high_coverage,provisional
01170011,Roslagskulla-Åsättra,Österåker,Stockholm,2026,2025,3.927383582535275,28.91644908616188,312,55,76,1532,114.896374,2925.519537,high_coverage,provisional
01170012,Runö,Österåker,Stockholm,2026,2025,13.888424011215383,39.39655172413793,332,74,51,1160,273.639923,1970.273393,high_coverage,provisional
01170013,Rydbo,Österåker,Stockholm,2026,2025,4.334151127071051,23.06201550387597,164,20,54,1032,65.515911,1511.620363,high_coverage,provisional
01170014,Skånsta,Österåker,Stockholm,2026,2025,6.569266640061841,31.522707034728406,254,35,65,1123,122.396164,1863.163283,high_coverage,provisional
01170015,Skärgårdsstad,Österåker,Stockholm,2026,2025,4.994814409888422,19.090098126672615,155,26,33,1121,70.748383,1416.436672,high_coverage,provisional
01170016,Smedby,Österåker,Stockholm,2026,2025,6.230666808703736,36.29929221435794,242,44,73,989,112.310481,1802.543523,high_coverage,provisional
01170017,Svinninge,Österåker,Stockholm,2026,2025,4.516895994366813,21.13113735239279,215,30,95,1609,108.504291,2402.187058,high_coverage,provisional
01170018,Säby,Österåker,Stockholm,2026,2025,5.497189843208861,27.53303964757709,168,31,51,908,79.524357,1446.636541,high_coverage,provisional
01170019,Söra N,Österåker,Stockholm,2026,2025,8.864954622694192,35.23351648351648,387,48,78,1456,252.98447,2853.759334,high_coverage,provisional
01170020,Söra S,Österåker,Stockholm,2026,2025,12.750647220051865,43.323442136498514,307,85,46,1011,140.993912,1105.778472,high_coverage,provisional
01170021,Tråsättra,Österåker,Stockholm,2026,2025,6.660107362060178,35.020242914979754,372,71,76,1482,139.54878,2095.29325,high_coverage,provisional
01170022,Tuna,Österåker,Stockholm,2026,2025,8.013450010065151,35.265700483091784,272,29,64,1035,186.812076,2331.231564,high_coverage,provisional
01170023,Åkerstorp,Österåker,Stockholm,2026,2025,7.335673841616615,39.152981849611066,308,73,72,1157,143.52491,1956.533416,high_coverage,provisional
01170024,Österskär V,Österåker,Stockholm,2026,2025,4.769163601996418,24.517374517374517,263,32,86,1554,87.486713,1834.424656,high_coverage,provisional
01170025,Österskär Ö,Österåker,Stockholm,2026,2025,2.9056390271232426,21.233974358974358,183,19,63,1248,57.206165,1968.798067,high_coverage,provisional
01200101,Värmdö 1 Saltarö,Värmdö,Stockholm,2026,2025,4.454529708331785,30.475206611570247,197,30,68,968,68.462718,1536.923592,high_coverage,provisional
